endereco;conteudo;valor_hex;valor_unidade_esperada
85;Sem descrição explícita no trecho do manual;0x0014;0x0014
86;Sem descrição explícita no trecho do manual;0x0002;0x0002
87;Sem descrição explícita no trecho do manual;0x001E;0x001E
88;Sem descrição explícita no trecho do manual;0x0002;0x0002
89;Sem descrição explícita no trecho do manual;0x0000;0x0000
90;Proteção Recarga (Baixa Temperatura);0x0034;52 °C
91;Alarme Recarga (Baixa Temperatura);0x0032;50 °C
92;Liberação de recarga (Baixa Temperatura);0x0037;55 °C
93;Proteção Recarga (Alta Temperatura);0x0073;115 °C
94;Alarme Recarga (Alta Temperatura);0x0078;120 °C
95;Liberação Recarga (Alta Temperatura);0x006E;110 °C
96;Proteção Descarga (Baixa Temperatura);0x0023;35 °C
97;Alarme Descarga (Baixa Temperatura);0x001E;30 °C
98;Liberação Descarga (Baixa Temperatura);0x0028;40 °C
99;Proteção Descarga (Alta Temperatura);0x0078;120 °C
100;Alarme Descarga (Alta Temperatura);0x007D;125 °C
101;Liberação Descarga (Alta Temperatura);0x0073;115 °C
102;Sem descrição explícita no trecho do manual;0x008C;0x008C
103;Sem descrição explícita no trecho do manual;0x0091;0x0091
104;Sem descrição explícita no trecho do manual;0x007D;0x007D
105;Modelo de Bateria (Número de série);0x442D;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
106;Modelo de Bateria (Número de série);0x3135;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
107;Modelo de Bateria (Número de série);0x5331;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
108;Modelo de Bateria (Número de série);0x3030;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
109;Modelo de Bateria (Número de série);0x412D;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
110;Modelo de Bateria (Número de série);0x5031;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
111;Modelo de Bateria (Número de série);0x352D;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
112;Modelo de Bateria (Número de série);0x554E;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
113;Modelo de Bateria (Número de série);0x492D;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
114;Modelo de Bateria (Número de série);0x5631;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
115;Modelo de Bateria (Número de série);0x2E30;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
116;Modelo de Bateria (Número de série);0x2020;Modelo/Número de série: D-15S100A-P15-UNI-V1.0  V06R16
117;Versão do BMS;0x5630;Versão do BMS: V06R16
118;Versão do BMS;0x3652;Versão do BMS: V06R16
119;Versão do BMS;0x3136;Versão do BMS: V06R16
120;Fabricante;0x3135;Fabricante: 1548100180
121;Fabricante;0x3438;Fabricante: 1548100180
122;Fabricante;0x3130;Fabricante: 1548100180
123;Fabricante;0x3031;Fabricante: 1548100180
124;Fabricante;0x3830;Fabricante: 1548100180
